STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:UKM00003334,MANCHESTER UK,20010405,-9999,17
GHCND:UKM00003334,MANCHESTER UK,20010406,128,-9999
GHCND:UKM00003334,MANCHESTER UK,20010407,73,-9999
GHCND:UKM00003334,MANCHESTER UK,20010408,93,29
GHCND:UKM00003334,MANCHESTER UK,20010409,144,47
GHCND:UKM00003334,MANCHESTER UK,20010410,136,-9999
GHCND:UKM00003334,MANCHESTER UK,20010411,113,37
GHCND:UKM00003334,MANCHESTER UK,20010412,113,27
GHCND:UKM00003334,MANCHESTER UK,20010413,-9999,25
GHCND:UKM00003334,MANCHESTER UK,20010414,115,48
GHCND:UKM00003334,MANCHESTER UK,20010415,114,-9999
GHCND:UKM00003334,MANCHESTER UK,20010416,95,-9999
GHCND:UKM00003334,MANCHESTER UK,20010417,91,13
GHCND:UKM00003334,MANCHESTER UK,20010418,70,9
GHCND:UKM00003334,MANCHESTER UK,20010419,94,13
GHCND:UKM00003334,MANCHESTER UK,20010420,95,-9999
GHCND:UKM00003334,MANCHESTER UK,20010421,107,-15
GHCND:UKM00003334,MANCHESTER UK,20010423,118,42
GHCND:UKM00003334,MANCHESTER UK,20010424,103,-9999
GHCND:UKM00003334,MANCHESTER UK,20010425,144,-9999
GHCND:UKM00003334,MANCHESTER UK,20010426,100,-9999
GHCND:UKM00003334,MANCHESTER UK,20010427,124,-9999
GHCND:UKM00003334,MANCHESTER UK,20010428,121,-9999
GHCND:UKM00003334,MANCHESTER UK,20010429,93,-9999
GHCND:UKM00003334,MANCHESTER UK,20010430,127,15
GHCND:UKM00003334,MANCHESTER UK,20010501,157,50
GHCND:UKM00003334,MANCHESTER UK,20010502,166,57
GHCND:UKM00003334,MANCHESTER UK,20010504,109,9
GHCND:UKM00003334,MANCHESTER UK,20010505,145,27
GHCND:UKM00003334,MANCHESTER UK,20010506,124,49
GHCND:UKM00003334,MANCHESTER UK,20010507,153,27
GHCND:UKM00003334,MANCHESTER UK,20010508,149,30
GHCND:UKM00003334,MANCHESTER UK,20010509,170,54
GHCND:UKM00003334,MANCHESTER UK,20010510,228,89
GHCND:UKM00003334,MANCHESTER UK,20010511,242,-9999
GHCND:UKM00003334,MANCHESTER UK,20010512,-9999,123
GHCND:UKM00003334,MANCHESTER UK,20010513,233,103
GHCND:UKM00003334,MANCHESTER UK,20010515,112,86
